H: 23A4Q B: 181, T: hand.HandType.HighCard
H: 5967J B: 827, T: hand.HandType.HighCard
H: 596J8 B: 259, T: hand.HandType.HighCard
H: 5A267 B: 659, T: hand.HandType.HighCard
H: 5AQ79 B: 602, T: hand.HandType.HighCard
H: 5J329 B: 21, T: hand.HandType.HighCard
H: 5JA64 B: 725, T: hand.HandType.HighCard
H: 5K982 B: 537, T: hand.HandType.HighCard
H: 5A69K B: 881, T: hand.HandType.HighCard
H: 5A8J2 B: 960, T: hand.HandType.HighCard
H: 62Q5J B: 665, T: hand.HandType.HighCard
H: 632AK B: 948, T: hand.HandType.HighCard
H: 63A7Q B: 941, T: hand.HandType.HighCard
H: 65384 B: 914, T: hand.HandType.HighCard
H: 65Q78 B: 488, T: hand.HandType.HighCard
H: 674AQ B: 186, T: hand.HandType.HighCard
H: 67K5A B: 632, T: hand.HandType.HighCard
H: 685Q3 B: 885, T: hand.HandType.HighCard
H: 69743 B: 254, T: hand.HandType.HighCard
H: 69Q4A B: 764, T: hand.HandType.HighCard
H: 6J234 B: 615, T: hand.HandType.HighCard
H: 6A2J4 B: 870, T: hand.HandType.HighCard
H: 6A49A B: 512, T: hand.HandType.HighCard
H: 6A9K2 B: 127, T: hand.HandType.HighCard
H: 6AA95 B: 696, T: hand.HandType.HighCard
H: 745QA B: 486, T: hand.HandType.HighCard
H: 7463Q B: 79, T: hand.HandType.HighCard
H: 749AK B: 501, T: hand.HandType.HighCard
H: 752A4 B: 888, T: hand.HandType.HighCard
H: 7548K B: 958, T: hand.HandType.HighCard
H: 7629A B: 65, T: hand.HandType.HighCard
H: 762AJ B: 637, T: hand.HandType.HighCard
H: 76K95 B: 940, T: hand.HandType.HighCard
H: 78A5A B: 548, T: hand.HandType.HighCard
H: 7945A B: 474, T: hand.HandType.HighCard
H: 794A6 B: 963, T: hand.HandType.HighCard
H: 794AA B: 272, T: hand.HandType.HighCard
H: 7AJK2 B: 70, T: hand.HandType.HighCard
H: 7Q594 B: 303, T: hand.HandType.HighCard
H: 7Q629 B: 36, T: hand.HandType.HighCard
H: 7Q6K2 B: 4, T: hand.HandType.HighCard
H: 7QA86 B: 926, T: hand.HandType.HighCard
H: 7K249 B: 288, T: hand.HandType.HighCard
H: 7KA42 B: 471, T: hand.HandType.HighCard
H: 7A6AQ B: 101, T: hand.HandType.HighCard
H: 836AK B: 476, T: hand.HandType.HighCard
H: 83J27 B: 197, T: hand.HandType.HighCard
H: 83A2J B: 211, T: hand.HandType.HighCard
H: 83A62 B: 812, T: hand.HandType.HighCard
H: 845QJ B: 589, T: hand.HandType.HighCard
H: 8654A B: 575, T: hand.HandType.HighCard
H: 8724K B: 89, T: hand.HandType.HighCard
H: 875KJ B: 565, T: hand.HandType.HighCard
H: 87JA5 B: 758, T: hand.HandType.HighCard
H: 87K49 B: 142, T: hand.HandType.HighCard
H: 8927A B: 717, T: hand.HandType.HighCard
H: 893AQ B: 909, T: hand.HandType.HighCard
H: 89A5A B: 33, T: hand.HandType.HighCard
H: 89J64 B: 188, T: hand.HandType.HighCard
H: 8A23A B: 546, T: hand.HandType.HighCard
H: 8AKJ4 B: 660, T: hand.HandType.HighCard
H: 8AKQ7 B: 325, T: hand.HandType.HighCard
H: 8J7K3 B: 986, T: hand.HandType.HighCard
H: 8JQ47 B: 484, T: hand.HandType.HighCard
H: 8JQK5 B: 591, T: hand.HandType.HighCard
H: 8JAQ2 B: 901, T: hand.HandType.HighCard
H: 8Q76K B: 140, T: hand.HandType.HighCard
H: 8AA45 B: 420, T: hand.HandType.HighCard
H: 927QA B: 570, T: hand.HandType.HighCard
H: 935Q4 B: 543, T: hand.HandType.HighCard
H: 93A62 B: 550, T: hand.HandType.HighCard
H: 93J8A B: 483, T: hand.HandType.HighCard
H: 93JAQ B: 525, T: hand.HandType.HighCard
H: 94273 B: 719, T: hand.HandType.HighCard
H: 94A28 B: 258, T: hand.HandType.HighCard
H: 95Q78 B: 227, T: hand.HandType.HighCard
H: 97832 B: 290, T: hand.HandType.HighCard
H: 9A43Q B: 93, T: hand.HandType.HighCard
H: 9J6K8 B: 340, T: hand.HandType.HighCard
H: 9JQA2 B: 511, T: hand.HandType.HighCard
H: 9Q263 B: 653, T: hand.HandType.HighCard
H: 9A286 B: 391, T: hand.HandType.HighCard
H: A254A B: 212, T: hand.HandType.HighCard
H: A2653 B: 2, T: hand.HandType.HighCard
H: A2J5A B: 198, T: hand.HandType.HighCard
H: A3QJ8 B: 358, T: hand.HandType.HighCard
H: A495Q B: 798, T: hand.HandType.HighCard
H: A4J67 B: 205, T: hand.HandType.HighCard
H: A5328 B: 686, T: hand.HandType.HighCard
H: A583K B: 42, T: hand.HandType.HighCard
H: A5K98 B: 463, T: hand.HandType.HighCard
H: A5A97 B: 767, T: hand.HandType.HighCard
H: A6385 B: 291, T: hand.HandType.HighCard
H: A73K6 B: 664, T: hand.HandType.HighCard
H: A9572 B: 731, T: hand.HandType.HighCard
H: A9A67 B: 382, T: hand.HandType.HighCard
H: AJ584 B: 169, T: hand.HandType.HighCard
H: AQ567 B: 845, T: hand.HandType.HighCard
H: AA253 B: 694, T: hand.HandType.HighCard
H: AA34K B: 229, T: hand.HandType.HighCard
H: AA385 B: 605, T: hand.HandType.HighCard
H: AA4J3 B: 296, T: hand.HandType.HighCard
H: J2759 B: 46, T: hand.HandType.HighCard
H: J2K9A B: 305, T: hand.HandType.HighCard
H: J39AK B: 371, T: hand.HandType.HighCard
H: J72Q5 B: 369, T: hand.HandType.HighCard
H: J9K38 B: 784, T: hand.HandType.HighCard
H: JA236 B: 249, T: hand.HandType.HighCard
H: JA2K3 B: 137, T: hand.HandType.HighCard
H: JA479 B: 736, T: hand.HandType.HighCard
H: JQA95 B: 855, T: hand.HandType.HighCard
H: JK4A5 B: 87, T: hand.HandType.HighCard
H: JK6AQ B: 117, T: hand.HandType.HighCard
H: JA37A B: 628, T: hand.HandType.HighCard
H: Q57JA B: 202, T: hand.HandType.HighCard
H: Q762J B: 180, T: hand.HandType.HighCard
H: Q79KA B: 477, T: hand.HandType.HighCard
H: Q7AK4 B: 473, T: hand.HandType.HighCard
H: Q93A5 B: 590, T: hand.HandType.HighCard
H: Q96AA B: 820, T: hand.HandType.HighCard
H: QA2J5 B: 449, T: hand.HandType.HighCard
H: QA32K B: 672, T: hand.HandType.HighCard
H: QA492 B: 865, T: hand.HandType.HighCard
H: QA563 B: 308, T: hand.HandType.HighCard
H: QA869 B: 813, T: hand.HandType.HighCard
H: QAK86 B: 705, T: hand.HandType.HighCard
H: QJ746 B: 430, T: hand.HandType.HighCard
H: QJ857 B: 465, T: hand.HandType.HighCard
H: QJA23 B: 40, T: hand.HandType.HighCard
H: QK543 B: 485, T: hand.HandType.HighCard
H: QA397 B: 29, T: hand.HandType.HighCard
H: QA869 B: 422, T: hand.HandType.HighCard
H: K354A B: 540, T: hand.HandType.HighCard
H: K3647 B: 276, T: hand.HandType.HighCard
H: K3845 B: 19, T: hand.HandType.HighCard
H: K3QA5 B: 840, T: hand.HandType.HighCard
H: K49JA B: 957, T: hand.HandType.HighCard
H: K4JQ5 B: 442, T: hand.HandType.HighCard
H: K59AQ B: 175, T: hand.HandType.HighCard
H: K6258 B: 466, T: hand.HandType.HighCard
H: K6287 B: 646, T: hand.HandType.HighCard
H: K7JA6 B: 873, T: hand.HandType.HighCard
H: K7QA8 B: 459, T: hand.HandType.HighCard
H: K8QA5 B: 587, T: hand.HandType.HighCard
H: K972Q B: 552, T: hand.HandType.HighCard
H: KA2JQ B: 927, T: hand.HandType.HighCard
H: KAA96 B: 403, T: hand.HandType.HighCard
H: KQ293 B: 915, T: hand.HandType.HighCard
H: A28A5 B: 775, T: hand.HandType.HighCard
H: A5KJA B: 83, T: hand.HandType.HighCard
H: A69J5 B: 331, T: hand.HandType.HighCard
H: A72K5 B: 839, T: hand.HandType.HighCard
H: A73A6 B: 569, T: hand.HandType.HighCard
H: A75J2 B: 621, T: hand.HandType.HighCard
H: A7K4J B: 190, T: hand.HandType.HighCard
H: A84QA B: 616, T: hand.HandType.HighCard
H: A9A34 B: 10, T: hand.HandType.HighCard
H: A9J5A B: 934, T: hand.HandType.HighCard
H: AA6K3 B: 173, T: hand.HandType.HighCard
H: AAJQ5 B: 727, T: hand.HandType.HighCard
H: AQ2K7 B: 740, T: hand.HandType.HighCard
H: AQAK2 B: 903, T: hand.HandType.HighCard
H: AQJA3 B: 228, T: hand.HandType.HighCard
H: AK478 B: 479, T: hand.HandType.HighCard
H: 22488 B: 144, T: hand.HandType.OnePair
H: 224JA B: 571, T: hand.HandType.OnePair
H: 2255K B: 183, T: hand.HandType.OnePair
H: 228AQ B: 747, T: hand.HandType.OnePair
H: 22A69 B: 414, T: hand.HandType.OnePair
H: 22JQ8 B: 789, T: hand.HandType.OnePair
H: 22A3A B: 656, T: hand.HandType.OnePair
H: 23AAJ B: 165, T: hand.HandType.OnePair
H: 24249 B: 348, T: hand.HandType.OnePair
H: 2424J B: 666, T: hand.HandType.OnePair
H: 24334 B: 281, T: hand.HandType.OnePair
H: 24342 B: 500, T: hand.HandType.OnePair
H: 24372 B: 154, T: hand.HandType.OnePair
H: 24JJ4 B: 410, T: hand.HandType.OnePair
H: 24K4Q B: 195, T: hand.HandType.OnePair
H: 2552Q B: 532, T: hand.HandType.OnePair
H: 25AA2 B: 267, T: hand.HandType.OnePair
H: 25AA5 B: 338, T: hand.HandType.OnePair
H: 263Q3 B: 655, T: hand.HandType.OnePair
H: 2662K B: 838, T: hand.HandType.OnePair
H: 26QKK B: 499, T: hand.HandType.OnePair
H: 27433 B: 32, T: hand.HandType.OnePair
H: 28696 B: 389, T: hand.HandType.OnePair
H: 28A25 B: 505, T: hand.HandType.OnePair
H: 28Q82 B: 521, T: hand.HandType.OnePair
H: 293A9 B: 993, T: hand.HandType.OnePair
H: 29JAA B: 5, T: hand.HandType.OnePair
H: 2J74J B: 47, T: hand.HandType.OnePair
H: 2J969 B: 460, T: hand.HandType.OnePair
H: 2JA23 B: 592, T: hand.HandType.OnePair
H: 2JA77 B: 35, T: hand.HandType.OnePair
H: 2Q2AA B: 200, T: hand.HandType.OnePair
H: 2Q2JQ B: 334, T: hand.HandType.OnePair
H: 2KAAA B: 373, T: hand.HandType.OnePair
H: 2KK7Q B: 39, T: hand.HandType.OnePair
H: 2AA5A B: 301, T: hand.HandType.OnePair
H: 32396 B: 90, T: hand.HandType.OnePair
H: 32883 B: 378, T: hand.HandType.OnePair
H: 3322Q B: 781, T: hand.HandType.OnePair
H: 335A6 B: 257, T: hand.HandType.OnePair
H: 33897 B: 343, T: hand.HandType.OnePair
H: 33QKQ B: 448, T: hand.HandType.OnePair
H: 33KJA B: 7, T: hand.HandType.OnePair
H: 33KQ4 B: 988, T: hand.HandType.OnePair
H: 35885 B: 551, T: hand.HandType.OnePair
H: 36436 B: 126, T: hand.HandType.OnePair
H: 36AA6 B: 998, T: hand.HandType.OnePair
H: 38Q55 B: 234, T: hand.HandType.OnePair
H: 39395 B: 289, T: hand.HandType.OnePair
H: 39749 B: 455, T: hand.HandType.OnePair
H: 39J35 B: 661, T: hand.HandType.OnePair
H: 3A779 B: 481, T: hand.HandType.OnePair
H: 3A878 B: 159, T: hand.HandType.OnePair
H: 3J2A3 B: 975, T: hand.HandType.OnePair
H: 3J3AA B: 715, T: hand.HandType.OnePair
H: 3J8AA B: 800, T: hand.HandType.OnePair
H: 3JQ3Q B: 904, T: hand.HandType.OnePair
H: 3JA73 B: 375, T: hand.HandType.OnePair
H: 3Q39Q B: 641, T: hand.HandType.OnePair
H: 3Q57Q B: 3, T: hand.HandType.OnePair
H: 3Q8K8 B: 902, T: hand.HandType.OnePair
H: 3K66K B: 834, T: hand.HandType.OnePair
H: 3A77A B: 217, T: hand.HandType.OnePair
H: 3A7AJ B: 302, T: hand.HandType.OnePair
H: 3AA99 B: 794, T: hand.HandType.OnePair
H: 424Q2 B: 846, T: hand.HandType.OnePair
H: 43483 B: 599, T: hand.HandType.OnePair
H: 434K9 B: 356, T: hand.HandType.OnePair
H: 43JAA B: 399, T: hand.HandType.OnePair
H: 43A3A B: 652, T: hand.HandType.OnePair
H: 43A4J B: 529, T: hand.HandType.OnePair
H: 44237 B: 566, T: hand.HandType.OnePair
H: 4455A B: 150, T: hand.HandType.OnePair
H: 446A3 B: 921, T: hand.HandType.OnePair
H: 447J7 B: 273, T: hand.HandType.OnePair
H: 44KK7 B: 892, T: hand.HandType.OnePair
H: 44KA5 B: 708, T: hand.HandType.OnePair
H: 47422 B: 82, T: hand.HandType.OnePair
H: 47AA3 B: 161, T: hand.HandType.OnePair
H: 48465 B: 450, T: hand.HandType.OnePair
H: 4922A B: 263, T: hand.HandType.OnePair
H: 4A6AJ B: 503, T: hand.HandType.OnePair
H: 4J338 B: 536, T: hand.HandType.OnePair
H: 4J343 B: 638, T: hand.HandType.OnePair
H: 4J4AQ B: 193, T: hand.HandType.OnePair
H: 4J549 B: 752, T: hand.HandType.OnePair
H: 4J877 B: 284, T: hand.HandType.OnePair
H: 4Q734 B: 821, T: hand.HandType.OnePair
H: 4QJQK B: 720, T: hand.HandType.OnePair
H: 4QQ47 B: 956, T: hand.HandType.OnePair
H: 4QQ4A B: 651, T: hand.HandType.OnePair
H: 4K4KJ B: 327, T: hand.HandType.OnePair
H: 4K56K B: 383, T: hand.HandType.OnePair
H: 4KAKA B: 386, T: hand.HandType.OnePair
H: 4A339 B: 439, T: hand.HandType.OnePair
H: 4A36A B: 911, T: hand.HandType.OnePair
H: 4AA7A B: 490, T: hand.HandType.OnePair
H: 4AQJA B: 851, T: hand.HandType.OnePair
H: 522J6 B: 889, T: hand.HandType.OnePair
H: 52454 B: 634, T: hand.HandType.OnePair
H: 5262A B: 454, T: hand.HandType.OnePair
H: 52A99 B: 182, T: hand.HandType.OnePair
H: 53424 B: 561, T: hand.HandType.OnePair
H: 53935 B: 224, T: hand.HandType.OnePair
H: 54745 B: 398, T: hand.HandType.OnePair
H: 54J54 B: 559, T: hand.HandType.OnePair
H: 55889 B: 445, T: hand.HandType.OnePair
H: 55QJA B: 464, T: hand.HandType.OnePair
H: 5677Q B: 146, T: hand.HandType.OnePair
H: 57385 B: 618, T: hand.HandType.OnePair
H: 57J87 B: 630, T: hand.HandType.OnePair
H: 58226 B: 346, T: hand.HandType.OnePair
H: 58A85 B: 673, T: hand.HandType.OnePair
H: 59235 B: 644, T: hand.HandType.OnePair
H: 5969Q B: 622, T: hand.HandType.OnePair
H: 59795 B: 226, T: hand.HandType.OnePair
H: 5A52A B: 446, T: hand.HandType.OnePair
H: 5A885 B: 896, T: hand.HandType.OnePair
H: 5AAQ5 B: 324, T: hand.HandType.OnePair
H: 5AJJA B: 930, T: hand.HandType.OnePair
H: 5J3A5 B: 246, T: hand.HandType.OnePair
H: 5JJ66 B: 265, T: hand.HandType.OnePair
H: 5JJ8A B: 931, T: hand.HandType.OnePair
H: 5K88A B: 270, T: hand.HandType.OnePair
H: 5AA35 B: 132, T: hand.HandType.OnePair
H: 5AA86 B: 942, T: hand.HandType.OnePair
H: 62599 B: 72, T: hand.HandType.OnePair
H: 62767 B: 333, T: hand.HandType.OnePair
H: 633AJ B: 619, T: hand.HandType.OnePair
H: 63979 B: 871, T: hand.HandType.OnePair
H: 63J38 B: 18, T: hand.HandType.OnePair
H: 63QQ7 B: 443, T: hand.HandType.OnePair
H: 63K83 B: 444, T: hand.HandType.OnePair
H: 64A48 B: 965, T: hand.HandType.OnePair
H: 65J33 B: 990, T: hand.HandType.OnePair
H: 65KK3 B: 750, T: hand.HandType.OnePair
H: 66227 B: 262, T: hand.HandType.OnePair
H: 66499 B: 674, T: hand.HandType.OnePair
H: 6687Q B: 53, T: hand.HandType.OnePair
H: 668A8 B: 8, T: hand.HandType.OnePair
H: 66A54 B: 416, T: hand.HandType.OnePair
H: 66AKA B: 918, T: hand.HandType.OnePair
H: 66Q49 B: 991, T: hand.HandType.OnePair
H: 66QQJ B: 939, T: hand.HandType.OnePair
H: 66K55 B: 341, T: hand.HandType.OnePair
H: 66AQ7 B: 701, T: hand.HandType.OnePair
H: 66AK4 B: 168, T: hand.HandType.OnePair
H: 67469 B: 71, T: hand.HandType.OnePair
H: 67647 B: 1, T: hand.HandType.OnePair
H: 67QQ6 B: 350, T: hand.HandType.OnePair
H: 688QQ B: 836, T: hand.HandType.OnePair
H: 6898J B: 710, T: hand.HandType.OnePair
H: 69655 B: 461, T: hand.HandType.OnePair
H: 69657 B: 576, T: hand.HandType.OnePair
H: 696A2 B: 699, T: hand.HandType.OnePair
H: 69984 B: 786, T: hand.HandType.OnePair
H: 69987 B: 66, T: hand.HandType.OnePair
H: 699J6 B: 922, T: hand.HandType.OnePair
H: 69Q6Q B: 314, T: hand.HandType.OnePair
H: 6AJQ6 B: 722, T: hand.HandType.OnePair
H: 6AQQK B: 387, T: hand.HandType.OnePair
H: 6J344 B: 684, T: hand.HandType.OnePair
H: 6K339 B: 231, T: hand.HandType.OnePair
H: 6K6K2 B: 675, T: hand.HandType.OnePair
H: 6AA3A B: 293, T: hand.HandType.OnePair
H: 6AJJ6 B: 631, T: hand.HandType.OnePair
H: 6AJJA B: 716, T: hand.HandType.OnePair
H: 726A2 B: 174, T: hand.HandType.OnePair
H: 72732 B: 78, T: hand.HandType.OnePair
H: 72AA7 B: 623, T: hand.HandType.OnePair
H: 736Q6 B: 392, T: hand.HandType.OnePair
H: 7373J B: 950, T: hand.HandType.OnePair
H: 73878 B: 549, T: hand.HandType.OnePair
H: 73A44 B: 250, T: hand.HandType.OnePair
H: 744AA B: 300, T: hand.HandType.OnePair
H: 74547 B: 401, T: hand.HandType.OnePair
H: 745AA B: 312, T: hand.HandType.OnePair
H: 74784 B: 973, T: hand.HandType.OnePair
H: 74AAQ B: 17, T: hand.HandType.OnePair
H: 758Q7 B: 524, T: hand.HandType.OnePair
H: 766JA B: 139, T: hand.HandType.OnePair
H: 76847 B: 130, T: hand.HandType.OnePair
H: 772A2 B: 730, T: hand.HandType.OnePair
H: 7732J B: 514, T: hand.HandType.OnePair
H: 773AA B: 862, T: hand.HandType.OnePair
H: 7746J B: 639, T: hand.HandType.OnePair
H: 778KA B: 594, T: hand.HandType.OnePair
H: 77J55 B: 880, T: hand.HandType.OnePair
H: 77Q96 B: 597, T: hand.HandType.OnePair
H: 799AJ B: 299, T: hand.HandType.OnePair
H: 79J8J B: 104, T: hand.HandType.OnePair
H: 7A5A8 B: 105, T: hand.HandType.OnePair
H: 7AKAK B: 280, T: hand.HandType.OnePair
H: 7J433 B: 996, T: hand.HandType.OnePair
H: 7JQ79 B: 518, T: hand.HandType.OnePair
H: 7QJ67 B: 102, T: hand.HandType.OnePair
H: 7KQK7 B: 681, T: hand.HandType.OnePair
H: 7KK27 B: 724, T: hand.HandType.OnePair
H: 7A72J B: 762, T: hand.HandType.OnePair
H: 82249 B: 984, T: hand.HandType.OnePair
H: 82929 B: 121, T: hand.HandType.OnePair
H: 82AA8 B: 721, T: hand.HandType.OnePair
H: 83485 B: 782, T: hand.HandType.OnePair
H: 83667 B: 306, T: hand.HandType.OnePair
H: 83922 B: 584, T: hand.HandType.OnePair
H: 8448A B: 598, T: hand.HandType.OnePair
H: 84899 B: 807, T: hand.HandType.OnePair
H: 8669J B: 218, T: hand.HandType.OnePair
H: 8833Q B: 67, T: hand.HandType.OnePair
H: 88AAA B: 129, T: hand.HandType.OnePair
H: 88J2K B: 627, T: hand.HandType.OnePair
H: 88JAA B: 59, T: hand.HandType.OnePair
H: 88JAA B: 37, T: hand.HandType.OnePair
H: 88QQ5 B: 76, T: hand.HandType.OnePair
H: 895K9 B: 203, T: hand.HandType.OnePair
H: 899QK B: 867, T: hand.HandType.OnePair
H: 89J8Q B: 753, T: hand.HandType.OnePair
H: 8J338 B: 332, T: hand.HandType.OnePair
H: 8J3J8 B: 833, T: hand.HandType.OnePair
H: 8J3JK B: 560, T: hand.HandType.OnePair
H: 8J47J B: 841, T: hand.HandType.OnePair
H: 8Q5Q5 B: 828, T: hand.HandType.OnePair
H: 8K866 B: 379, T: hand.HandType.OnePair
H: 8A787 B: 187, T: hand.HandType.OnePair
H: 8AAJA B: 857, T: hand.HandType.OnePair
H: 8AK44 B: 875, T: hand.HandType.OnePair
H: 92279 B: 541, T: hand.HandType.OnePair
H: 92A92 B: 436, T: hand.HandType.OnePair
H: 92Q2A B: 558, T: hand.HandType.OnePair
H: 944A9 B: 335, T: hand.HandType.OnePair
H: 94K94 B: 271, T: hand.HandType.OnePair
H: 94AAQ B: 380, T: hand.HandType.OnePair
H: 95449 B: 756, T: hand.HandType.OnePair
H: 95544 B: 860, T: hand.HandType.OnePair
H: 95598 B: 564, T: hand.HandType.OnePair
H: 959J6 B: 545, T: hand.HandType.OnePair
H: 96976 B: 243, T: hand.HandType.OnePair
H: 97474 B: 86, T: hand.HandType.OnePair
H: 97J7J B: 778, T: hand.HandType.OnePair
H: 97A39 B: 491, T: hand.HandType.OnePair
H: 98494 B: 907, T: hand.HandType.OnePair
H: 98839 B: 64, T: hand.HandType.OnePair
H: 9898A B: 595, T: hand.HandType.OnePair
H: 99567 B: 542, T: hand.HandType.OnePair
H: 99J86 B: 997, T: hand.HandType.OnePair
H: 99JQJ B: 886, T: hand.HandType.OnePair
H: 99Q7J B: 413, T: hand.HandType.OnePair
H: 99KK8 B: 24, T: hand.HandType.OnePair
H: 9A3AJ B: 26, T: hand.HandType.OnePair
H: 9A92J B: 248, T: hand.HandType.OnePair
H: 9J449 B: 596, T: hand.HandType.OnePair
H: 9JAA4 B: 457, T: hand.HandType.OnePair
H: 9JJ95 B: 81, T: hand.HandType.OnePair
H: 9QAA9 B: 120, T: hand.HandType.OnePair
H: 9QQK9 B: 63, T: hand.HandType.OnePair
H: 9K6K6 B: 34, T: hand.HandType.OnePair
H: 9K9KA B: 869, T: hand.HandType.OnePair
H: 9KK4J B: 970, T: hand.HandType.OnePair
H: 9KK8Q B: 57, T: hand.HandType.OnePair
H: 9A9A6 B: 502, T: hand.HandType.OnePair
H: 9A9AJ B: 585, T: hand.HandType.OnePair
H: 9AJA7 B: 658, T: hand.HandType.OnePair
H: A27JJ B: 317, T: hand.HandType.OnePair
H: A28AA B: 832, T: hand.HandType.OnePair
H: A2A45 B: 6, T: hand.HandType.OnePair
H: A33AA B: 613, T: hand.HandType.OnePair
H: A3883 B: 866, T: hand.HandType.OnePair
H: A44KK B: 408, T: hand.HandType.OnePair
H: A4J6J B: 360, T: hand.HandType.OnePair
H: A4QA4 B: 112, T: hand.HandType.OnePair
H: A4A22 B: 409, T: hand.HandType.OnePair
H: A5A9A B: 122, T: hand.HandType.OnePair
H: A5AKQ B: 563, T: hand.HandType.OnePair
H: A5J44 B: 868, T: hand.HandType.OnePair
H: A655A B: 54, T: hand.HandType.OnePair
H: A67Q6 B: 507, T: hand.HandType.OnePair
H: A686A B: 617, T: hand.HandType.OnePair
H: A6AJK B: 952, T: hand.HandType.OnePair
H: A6AA6 B: 932, T: hand.HandType.OnePair
H: A7QKK B: 329, T: hand.HandType.OnePair
H: A8A67 B: 116, T: hand.HandType.OnePair
H: A9228 B: 266, T: hand.HandType.OnePair
H: A94J4 B: 878, T: hand.HandType.OnePair
H: A99J6 B: 677, T: hand.HandType.OnePair
H: A9AQQ B: 451, T: hand.HandType.OnePair
H: AA44J B: 964, T: hand.HandType.OnePair
H: AA949 B: 498, T: hand.HandType.OnePair
H: AA99K B: 830, T: hand.HandType.OnePair
H: AAJ67 B: 376, T: hand.HandType.OnePair
H: AAK7Q B: 13, T: hand.HandType.OnePair
H: AJAJ4 B: 663, T: hand.HandType.OnePair
H: AJAKK B: 134, T: hand.HandType.OnePair
H: AJJA9 B: 698, T: hand.HandType.OnePair
H: AQ5Q4 B: 624, T: hand.HandType.OnePair
H: AQ8AA B: 980, T: hand.HandType.OnePair
H: AQA4A B: 149, T: hand.HandType.OnePair
H: AQKKA B: 938, T: hand.HandType.OnePair
H: AA9AA B: 318, T: hand.HandType.OnePair
H: AAA43 B: 748, T: hand.HandType.OnePair
H: AAAA4 B: 12, T: hand.HandType.OnePair
H: AAQAJ B: 969, T: hand.HandType.OnePair
H: J22J3 B: 609, T: hand.HandType.OnePair
H: J252J B: 683, T: hand.HandType.OnePair
H: J2A82 B: 106, T: hand.HandType.OnePair
H: J3634 B: 945, T: hand.HandType.OnePair
H: J3868 B: 97, T: hand.HandType.OnePair
H: J3J36 B: 955, T: hand.HandType.OnePair
H: J3AA3 B: 808, T: hand.HandType.OnePair
H: J45A4 B: 216, T: hand.HandType.OnePair
H: J49J9 B: 363, T: hand.HandType.OnePair
H: J5223 B: 732, T: hand.HandType.OnePair
H: J55J9 B: 645, T: hand.HandType.OnePair
H: J58A8 B: 831, T: hand.HandType.OnePair
H: J5995 B: 22, T: hand.HandType.OnePair
H: J5KJK B: 580, T: hand.HandType.OnePair
H: J6A77 B: 241, T: hand.HandType.OnePair
H: J7479 B: 647, T: hand.HandType.OnePair
H: J7725 B: 452, T: hand.HandType.OnePair
H: J799A B: 883, T: hand.HandType.OnePair
H: J7K47 B: 482, T: hand.HandType.OnePair
H: J828J B: 769, T: hand.HandType.OnePair
